imageName,groundTruth,amazonLabels,amazonScores,azureLabels,azureScores,clarifaiLabels,clarifaiScores,googleLabels,googleScores,watsonLabels,watsonScores,category,indoor
sun_bhqpnbsijafxkcyt,cathedral,"['Architecture', 'Tower', 'Building', 'Clock Tower', 'Spire']","[99.18646240234375, 99.18646240234375, 99.18646240234375, 87.04759216308594, 86.79019165039062]","['sky', 'outdoor', 'building', 'tower', 'cloud']","[0.9999831914901733, 0.9981446266174316, 0.9616602659225464, 0.937891960144043, 0.9287302494049072]","['architecture', 'no person', 'travel', 'religion', 'ancient']","[0.9964141249656677, 0.9932571649551392, 0.9913213849067688, 0.9870604276657104, 0.9845799207687378]","['Sky', 'Landmark', 'Architecture', 'Building', 'Roof']","[0.9420715, 0.9370047, 0.90824836, 0.8069474, 0.79442626]","['onion dome', 'dome', 'protective covering', 'church tower', 'tower']","[0.732, 0.771, 0.848, 0.599, 0.764]",cathedral,False
sun_aqtqbutzkcbcphlk,office,"['Furniture', 'Indoors', 'Table', 'Office', 'Desk']","[98.67140197753906, 97.43281555175781, 96.00070190429688, 94.52210235595703, 94.22315979003906]","['floor', 'indoor', 'wall', 'design', 'office building']","[0.9998570680618286, 0.9986776113510132, 0.9880914688110352, 0.9789655208587646, 0.9755253791809082]","['desk', 'room', 'furniture', 'chair', 'indoors']","[0.9956561326980591, 0.9951107501983643, 0.9941282272338867, 0.993272066116333, 0.9911719560623169]","['Office chair', 'Desk', 'Furniture', 'Computer desk', 'Office']","[0.9760851, 0.9757948, 0.9724863, 0.96046907, 0.94580436]","['office furniture', 'furniture', 'office', 'building', 'indoors']","[0.911, 0.912, 0.723, 0.723, 0.79]",office,False
sun_btgfhepflxlmbtvx,office,"['Furniture', 'Desk', 'Table', 'Human', 'Person']","[99.95999145507812, 99.87432098388672, 99.87432098388672, 99.49029541015625, 99.49029541015625]","['computer', 'indoor', 'wall', 'desk', 'text']","[0.9877214431762695, 0.9815188646316528, 0.9724746942520142, 0.9706988334655762, 0.9596010446548462]","['room', 'desk', 'indoors', 'furniture', 'office']","[0.9933345317840576, 0.9926618337631226, 0.9773274660110474, 0.9750977158546448, 0.9659121632575989]","['Office', 'Room', 'Desk', 'Building', 'Design']","[0.89579844, 0.79112947, 0.7565863, 0.7329832, 0.7203227]","['office', 'building', 'workroom', 'indoors', 'study']","[0.95, 0.95, 0.517, 0.717, 0.5]",office,False
sun_atbsrhfzwxqxlzbp,office,"['Furniture', 'Human', 'Person', 'Monitor', 'Screen']","[99.91510772705078, 99.64802551269531, 99.64802551269531, 99.05360412597656, 99.05360412597656]","['indoor', 'person', 'computer', 'text', 'laptop']","[0.9943324327468872, 0.985430896282196, 0.9732732772827148, 0.8983936309814453, 0.7647772431373596]","['people', 'adult', 'computer', 'room', 'indoors']","[0.9872802495956421, 0.9796746969223022, 0.9662169218063354, 0.9631855487823486, 0.9555122256278992]","['Design', 'Drawing', 'Illustration', 'Automotive design', 'Learning']","[0.7484626, 0.7338131, 0.73167, 0.72283965, 0.70410746]","['radiologist', 'medical specialist', 'person', 'paper based (stamps/currency)', 'written document']","[0.586, 0.586, 0.677, 0.528, 0.546]",office,False
sun_akpmnledfyjbjmoc,office,"['Furniture', 'Table', 'Desk', 'Chair', 'Computer']","[99.99198150634766, 99.72297668457031, 99.72297668457031, 99.39723205566406, 96.33523559570312]","['indoor', 'floor', 'wall', 'computer', 'desk']","[0.998592734336853, 0.9928349852561951, 0.9877956509590149, 0.9859938621520996, 0.9836320877075195]","['room', 'furniture', 'desk', 'interior design', 'chair']","[0.9959666728973389, 0.9958943128585815, 0.9935512542724609, 0.9891842007637024, 0.985126256942749]","['Room', 'Furniture', 'Property', 'Office chair', 'Building']","[0.93700683, 0.89834356, 0.89419883, 0.8668791, 0.86434734]","['office', 'building', 'indoors', 'sage green color']","[0.977, 0.977, 0.799, 0.967]",office,False
sun_beiraegrvvowwmmm,office,"['Furniture', 'Table', 'Desk', 'Chair', 'Indoors']","[99.97974395751953, 99.20008850097656, 98.55712890625, 89.25208282470703, 87.18273162841797]","['table', 'indoor', 'wall', 'furniture', 'desk']","[0.9847297072410583, 0.9833748936653137, 0.971521258354187, 0.9703457355499268, 0.9522149562835693]","['furniture', 'room', 'desk', 'chair', 'seat']","[0.9973044991493225, 0.9968729019165039, 0.9943496584892273, 0.9938004016876221, 0.9904305934906006]","['Furniture', 'Desk', 'Office', 'Room', 'Building']","[0.9385723, 0.9382021, 0.90809625, 0.8952174, 0.76796865]","['office', 'building', 'office furniture', 'furniture', 'indoors']","[0.966, 0.966, 0.5, 0.503, 0.795]",office,False
sun_bybmoadfgtqbvtmf,hunting_lodge,"['Building', 'Housing', 'Cabin', 'House', 'Cottage']","[99.88042449951172, 99.88042449951172, 98.91547393798828, 98.91547393798828, 81.16858673095703]","['tree', 'outdoor', 'grass', 'house', 'sky']","[0.9999972581863403, 0.9990732669830322, 0.9532777667045593, 0.9343067407608032, 0.893718957901001]","['wood', 'nature', 'tree', 'no person', 'landscape']","[0.9990416765213013, 0.98478764295578, 0.9805114269256592, 0.9772374629974365, 0.9725461006164551]","['Tree', 'Forest', 'Biome', 'Woodland', 'Wilderness']","[0.8756634, 0.8507648, 0.8304968, 0.8257692, 0.8227761]","['cabin (house)', 'building', 'shelter', 'reddish brown color', 'greenishness color']","[0.941, 0.941, 0.5, 0.707, 0.663]",hunting_lodge,False
sun_bxidtbxqxowpvgyf,hunting_lodge,"['Building', 'Housing', 'Shelter', 'Outdoors', 'Nature']","[99.6035385131836, 99.6035385131836, 96.49858093261719, 96.49858093261719, 96.49858093261719]","['outdoor', 'building', 'sky', 'porch', 'stairs']","[0.996598482131958, 0.9955172538757324, 0.995127260684967, 0.9833673238754272, 0.9211311340332031]","['family', 'house', 'home', 'architecture', 'no person']","[0.9969437122344971, 0.9964548349380493, 0.9955852031707764, 0.9941450357437134, 0.9898601770401001]","['Home', 'House', 'Siding', 'Property', 'Building']","[0.98624873, 0.9856384, 0.9683096, 0.9590447, 0.93714017]","['gambrel roof', 'protective covering', 'vacation home', 'dwelling', 'housing']","[0.547, 0.547, 0.543, 0.6, 0.628]",hunting_lodge,False
sun_bttlatqjgkjheijp,hunting_lodge,"['Building', 'Housing', 'House', 'Cabin', 'Log Cabin']","[99.83102416992188, 99.83102416992188, 97.83463287353516, 96.15272521972656, 85.06549072265625]","['outdoor', 'tree', 'house', 'building', 'window']","[0.998169481754303, 0.9913212060928345, 0.9573893547058105, 0.9129254221916199, 0.8016119003295898]","['house', 'wood', 'window', 'bungalow', 'wooden']","[0.9930155277252197, 0.9899197816848755, 0.9563087821006775, 0.9538502097129822, 0.9537989497184753]","['Home', 'House', 'Property', 'Cottage', 'Roof']","[0.9827443, 0.98161805, 0.95263445, 0.9040137, 0.8958802]","['log cabin', 'building', 'cabin (house)', 'reddish orange color', 'reddish brown color']","[0.841, 0.921, 0.5, 0.66, 0.519]",hunting_lodge,False
sun_blyvikhnfjciafac,hunting_lodge,"['Housing', 'Building', 'House', 'Cabin', 'Log Cabin']","[99.85551452636719, 99.85551452636719, 97.15679168701172, 95.82138061523438, 79.2179946899414]","['grass', 'tree', 'outdoor', 'house', 'snow']","[0.9996300339698792, 0.9993329048156738, 0.99433434009552, 0.9638537168502808, 0.9586632251739502]","['house', 'wood', 'tree', 'home', 'no person']","[0.9944311380386353, 0.9914186000823975, 0.9851198196411133, 0.9664547443389893, 0.960899829864502]","['Home', 'House', 'Property', 'Cottage', 'Roof']","[0.980753, 0.9673552, 0.96526146, 0.9031405, 0.90089154]","['hunting lodge', 'building', 'cabin (house)', 'indian lodge', 'dwelling']","[0.697, 0.88, 0.685, 0.562, 0.594]",hunting_lodge,False
sun_aucewcpaluvkirlv,hunting_lodge,"['Plant', 'Vegetation', 'Tree', 'Outdoors', 'Forest']","[99.48440551757812, 99.48440551757812, 98.5287094116211, 98.5287094116211, 98.5287094116211]","['tree', 'outdoor', 'grass', 'ground', 'plant']","[0.999993085861206, 0.9996672868728638, 0.9973046779632568, 0.9934049844741821, 0.5285669565200806]","['wood', 'tree', 'outdoors', 'nature', 'park']","[0.9925888776779175, 0.9893558621406555, 0.9841089248657227, 0.9802590608596802, 0.9714637994766235]","['Nature reserve', 'State park', 'Trail', 'Tree', 'Landscape']","[0.8718712, 0.8462167, 0.77200794, 0.74697447, 0.6504039]","['cabin (house)', 'building', 'dude ranch', 'hotel', 'campsite']","[0.734, 0.787, 0.503, 0.503, 0.5]",hunting_lodge,False
sun_anpvpxmcereirktj,shoe_shop,"['Shelf', 'Clothing', 'Apparel', 'Furniture', 'Chair']","[92.26377868652344, 83.6156997680664, 83.6156997680664, 68.50218200683594, 68.50218200683594]","['text', 'shelf', 'shop']","[0.9896842241287231, 0.5494250059127808, 0.11900472640991211]","['shelf', 'library', 'bookcase', 'rack', 'stock']","[0.998979926109314, 0.9855523109436035, 0.9835448861122131, 0.982693076133728, 0.9778454303741455]","['Shelf', 'Footwear', 'Room', 'Collection', 'Closet']","[0.88399523, 0.8711167, 0.8263952, 0.79168856, 0.7100584]","['closet', 'indoors', 'rack', 'framework', 'supporting structure']","[0.704, 0.857, 0.621, 0.621, 0.621]",shoe_shop,False
sun_afnknzkbaaxhrbrm,shoe_shop,"['Shelf', 'Human', 'Person', 'Shop', 'Shoe Shop']","[98.89411163330078, 95.00733184814453, 95.00733184814453, 93.93616485595703, 75.60437774658203]","['indoor', 'shelf', 'human face', 'text', 'vending machine']","[0.9653037786483765, 0.8248835802078247, 0.7588316798210144, 0.6281346082687378, 0.1992243528366089]","['indoors', 'stock', 'shelf', 'business', 'people']","[0.9889758229255676, 0.9789091348648071, 0.9711383581161499, 0.9662129282951355, 0.9657145738601685]","['Display case', 'Eyewear', 'Glasses', 'Vision care']","[0.91210455, 0.86244905, 0.72365004, 0.63846374]","['automat (food vending machines)', 'machine', 'building', 'indoors', 'pink color']","[0.883, 0.886, 0.801, 0.794, 0.867]",shoe_shop,False
sun_akykrojcfmabmaws,shoe_shop,"['Clothing', 'Apparel', 'Footwear', 'Shoe Shop', 'Shop']","[99.7685317993164, 99.7685317993164, 95.1629638671875, 92.91056060791016, 92.91056060791016]","['footwear', 'indoor', 'text', 'furniture', 'computer']","[0.9248151779174805, 0.9192949533462524, 0.8464494943618774, 0.7554580569267273, 0.7243752479553223]","['footwear', 'shelf', 'stock', 'wear', 'room']","[0.9971625804901123, 0.9965882301330566, 0.9950387477874756, 0.9879614114761353, 0.9779168963432312]","['Footwear', 'Shoe store', 'Shelf', 'Shoe', 'Eyewear']","[0.9481921, 0.9092681, 0.84909, 0.84694886, 0.7385087]","['shoe shop', 'shop', 'retail store', 'building', 'thriftshop']","[0.873, 0.929, 0.937, 0.937, 0.633]",shoe_shop,False
sun_axpdkuqtwmftxhkj,shoe_shop,"['Grocery Store', 'Shop', 'Market', 'Supermarket', 'Shelf']","[99.0556640625, 99.0556640625, 98.39887237548828, 97.9822006225586, 97.73870849609375]","['food', 'convenience store', 'soft drink', 'text', 'snack']","[0.9438693523406982, 0.888378381729126, 0.8705854415893555, 0.8327710628509521, 0.8239457607269287]","['market', 'stock', 'commerce', 'sale', 'shopping']","[0.9837923645973206, 0.9815707206726074, 0.9729747176170349, 0.9727497100830078, 0.9652950763702393]","['Building', 'Inventory', 'Grocery store']","[0.56988376, 0.5608534, 0.5353205]","['supermarket', 'grocery store', 'marketplace', 'retail store', 'building']","[0.77, 0.901, 0.901, 0.974, 0.974]",shoe_shop,False
sun_apbptmlbnbpkwipf,shoe_shop,"['Painting', 'Art', 'Shop', 'Bazaar', 'Market']","[96.73302459716797, 96.73302459716797, 94.08238983154297, 79.41278839111328, 79.41278839111328]","['indoor', 'cartoon', 'painting', 'art', 'store']","[0.9539051055908203, 0.9117364883422852, 0.8959749937057495, 0.6733498573303223, 0.3332855999469757]","['market', 'sale', 'shop', 'shopping', 'stock']","[0.9991509914398193, 0.9973119497299194, 0.9969843029975891, 0.9967737197875977, 0.9967716932296753]","['Footwear', 'Selling', 'Marketplace', 'Bazaar', 'Shoe']","[0.76689374, 0.6694397, 0.63151336, 0.61441535, 0.58153]","['flea market', 'marketplace', 'retail store', 'building', 'bazaar']","[0.702, 0.924, 0.95, 0.95, 0.675]",shoe_shop,False
sun_bimmjsiykblnuqtf,shopping_mall,"['Person', 'Human', 'Shop', 'Architecture', 'Building']","[99.84966278076172, 99.84966278076172, 87.25296020507812, 86.48133850097656, 86.48133850097656]","['building', 'person', 'ceiling', 'people', 'indoor']","[0.9989878535270691, 0.9795328378677368, 0.976560115814209, 0.9719041585922241, 0.9524679780006409]","['shopping', 'travel', 'people', 'mall', 'stock']","[0.9916768074035645, 0.9881618022918701, 0.9714849591255188, 0.9673768281936646, 0.9604370594024658]","['Shopping mall', 'Building', 'Retail', 'Outlet store', 'Shopping']","[0.9766517, 0.9575937, 0.8442302, 0.835138, 0.8301551]","['food court', 'courtyard', 'Indoor Shopping Mall', 'mall', 'retail store']","[0.811, 0.811, 0.809, 0.535, 0.537]",shopping_mall,False
