imageName,groundTruth,amazonLabels,amazonScores,azureLabels,azureScores,clarifaiLabels,clarifaiScores,googleLabels,googleScores,watsonLabels,watsonScores,category
locker_room_google_0250,locker_room,"['Furniture', 'Indoors', 'Room', 'Dressing Room', 'Tie']","[99.70406341552734, 99.37796020507812, 99.37796020507812, 99.37796020507812, 93.83000946044922]","['text', 'floor', 'indoor', 'clothing', 'person']","[0.9788956642150879, 0.9508582949638367, 0.9451680183410645, 0.9259710311889648, 0.9076560139656067]","['people', 'movie', 'portrait', 'fashion', 'man']","[0.9784337282180786, 0.9264755249023438, 0.9163953065872192, 0.8863494396209717, 0.8840849995613098]",,,"['red carpet', 'rug', 'floor cover', 'alizarine red color', 'reddish orange color']","[0.989, 0.989, 0.989, 0.969, 0.865]",locker_room
locker_room_google_0145,locker_room,"['Furniture', 'Locker', 'Tabletop', 'Table', 'Wood']","[98.36672973632812, 97.75560760498047, 89.20052337646484, 87.2049560546875, 81.38652801513672]","['floor', 'design', 'indoor', 'table', 'house']","[0.9945691823959351, 0.9774231910705566, 0.9742772579193115, 0.9384840726852417, 0.8832995891571045]","['contemporary', 'indoors', 'furniture', 'no person', 'room']","[0.9947634935379028, 0.993886411190033, 0.9871431589126587, 0.9858784675598145, 0.9801729917526245]","['Room', 'Furniture', 'Green', 'Interior design', 'Floor']","[0.95428735, 0.9249211, 0.9194969, 0.91451216, 0.9052953]","['locker room', 'indoors', 'tile', 'sage green color', 'blue color']","[0.695, 0.699, 0.6, 0.705, 0.572]",locker_room
locker_room_google_0121,locker_room,"['Locker', 'Lighting']","[99.48384094238281, 60.27469253540039]","['indoor', 'cabinet', 'wall', 'floor', 'drawer']","[0.9962712526321411, 0.9958845376968384, 0.9937858581542969, 0.9328827857971191, 0.907638669013977]","['no person', 'indoors', 'cabinet', 'interior design', 'wood']","[0.9985052347183228, 0.9963475465774536, 0.9922281503677368, 0.9896843433380127, 0.9896570444107056]","['Wall', 'Room', 'Furniture', 'Locker', 'Interior design']","[0.90227187, 0.90213037, 0.8738201, 0.7790507, 0.68613654]","['locker room', 'indoors', 'reddish orange color']","[0.997, 0.997, 1]",locker_room
locker_room_google_0170,locker_room,"['Postal Office', 'Indoors', 'Room', 'Construction Crane', 'Furniture']","[88.09898376464844, 85.77861022949219, 85.77861022949219, 81.3906021118164, 78.40982818603516]","['text', 'indoor', 'floor', 'ceiling', 'whiteboard']","[0.9907733201980591, 0.955470621585846, 0.9197038412094116, 0.9128251671791077, 0.8545607328414917]","['indoors', 'business', 'horizontal plane', 'airport', 'transportation system']","[0.9936118125915527, 0.9761683940887451, 0.973483681678772, 0.9587082862854004, 0.9427985548973083]","['Building', 'Room', 'Banner', 'Ceiling', 'Sport venue']","[0.72891563, 0.71392286, 0.6702176, 0.6012809, 0.54185164]","['locker room', 'indoors', 'reddish orange color']","[0.999, 0.999, 1]",locker_room
locker_room_google_0205,locker_room,"['Locker', 'Indoors', 'Room']","[95.64540100097656, 82.02104949951172, 82.02104949951172]","['floor', 'indoor', 'furniture', 'door', 'building']","[0.9968277812004089, 0.9845227003097534, 0.9690403938293457, 0.9670127630233765, 0.9311132431030273]","['indoors', 'room', 'window', 'furniture', 'contemporary']","[0.9982414245605469, 0.9976317882537842, 0.993567168712616, 0.993510365486145, 0.9930569529533386]","['Room', 'Property', 'Tile', 'Building', 'Wall']","[0.949114, 0.94699126, 0.8474956, 0.8341362, 0.81250733]","['wainscoting wood panels', 'wall', 'locker room', 'indoors', 'sage green color']","[0.867, 0.867, 0.638, 0.64, 1]",locker_room
scaihs_bookstore2,library,"['Indoors', 'Bookstore', 'Book', 'Shop', 'Room']","[99.73959350585938, 97.7596206665039, 97.7596206665039, 97.7596206665039, 95.567138671875]","['text', 'indoor', 'shelf', 'ceiling', 'book']","[0.999569296836853, 0.9984511137008667, 0.9874820709228516, 0.980388879776001, 0.9783935546875]","['bookcase', 'shelf', 'library', 'furniture', 'education']","[0.9998094439506531, 0.999729573726654, 0.9957315325737, 0.9876900315284729, 0.9874495267868042]","['Library', 'Shelf', 'Shelving', 'Bookselling', 'Building']","[0.96699554, 0.9553209, 0.9224847, 0.9095937, 0.90088624]","['library', 'building', 'classroom', 'indoors', 'sage green color']","[0.811, 0.811, 0.5, 0.5, 0.673]",library
Bibliotheque02,library,"['Human', 'Person', 'Indoors', 'Room', 'Chair']","[98.81373596191406, 98.81373596191406, 97.59739685058594, 97.59739685058594, 94.80796813964844]","['indoor', 'table', 'text', 'floor', 'furniture']","[0.9963036775588989, 0.9825120568275452, 0.9691684246063232, 0.9682124257087708, 0.9406149387359619]","['table', 'library', 'school', 'bookcase', 'people']","[0.9878650307655334, 0.9858989715576172, 0.9721074104309082, 0.960606038570404, 0.9584842920303345]","['Building', 'Library', 'Room', 'Bookselling', 'Table']","[0.8400033, 0.8308794, 0.8211808, 0.6251974, 0.58647066]","['restaurant', 'building', 'canteen', 'indoors', 'study hall']","[0.757, 0.817, 0.565, 0.76, 0.511]",library
librairie_16,library,"['Indoors', 'Shop', 'Bookstore', 'Book']","[99.34323120117188, 97.72920227050781, 96.58441925048828, 96.58441925048828]","['text', 'shelf', 'indoor', 'book', 'bookcase']","[0.9998637437820435, 0.9961098432540894, 0.983132004737854, 0.9557092189788818, 0.9183148145675659]","['shelf', 'stock', 'market', 'commerce', 'bookcase']","[0.9983644485473633, 0.9961419105529785, 0.9958806037902832, 0.9951342940330505, 0.9889450073242188]","['Bookselling', 'Retail', 'Product', 'Building', 'Book']","[0.9393128, 0.9157258, 0.8828333, 0.82349044, 0.8132966]","['bookshop', 'shop', 'retail store', 'building', 'indoors']","[0.905, 0.91, 0.923, 0.923, 0.796]",library
students_library_computers,library,"['Furniture', 'Chair', 'Desk', 'Table', 'Person']","[99.66857147216797, 98.89767456054688, 98.0377426147461, 98.0377426147461, 97.48464965820312]","['table', 'indoor', 'text', 'wall', 'library']","[0.9976632595062256, 0.9927325248718262, 0.9802348017692566, 0.9795650243759155, 0.977615475654602]","['furniture', 'education', 'desk', 'room', 'indoors']","[0.9945484399795532, 0.9908747673034668, 0.9885745644569397, 0.9852495789527893, 0.9780784845352173]","['Room', 'Hardwood', 'Building', 'Furniture', 'Classroom']","[0.90938574, 0.83853346, 0.8171036, 0.8096755, 0.7880263]","['classroom', 'indoors', 'workroom', 'study', 'library']","[0.692, 0.884, 0.565, 0.544, 0.5]",library
Day100006web,library,"['Room', 'Indoors', 'Library', 'Book', 'Chair']","[99.64154052734375, 99.64154052734375, 99.33020782470703, 99.33020782470703, 86.2015609741211]","['indoor', 'table', 'ceiling', 'floor', 'shelf']","[0.9944965839385986, 0.9797821044921875, 0.9690670967102051, 0.9499974846839905, 0.9209175109863281]","['bookcase', 'furniture', 'shelf', 'seat', 'room']","[0.9993680715560913, 0.9988521933555603, 0.9982938766479492, 0.9975006580352783, 0.9973101019859314]","['Library', 'Public library', 'Building', 'Room', 'Furniture']","[0.9525146, 0.9493937, 0.89248586, 0.86483836, 0.63240147]","['library', 'building', 'reading room', 'indoors', 'classroom']","[0.792, 0.792, 0.56, 0.745, 0.5]",library
Living31,living_room,"['Indoors', 'Room', 'Living Room', 'Furniture', 'Plant']","[99.87944793701172, 99.87944793701172, 99.87944793701172, 99.53115844726562, 98.72101593017578]","['living', 'vase', 'indoor', 'room', 'table']","[0.9955078363418579, 0.9901304244995117, 0.9887237548828125, 0.9837024211883545, 0.9801452159881592]","['furniture', 'room', 'seat', 'chair', 'sofa']","[0.9986041784286499, 0.9985795021057129, 0.9974541664123535, 0.9966024160385132, 0.9955004453659058]","['Room', 'Furniture', 'Living room', 'Interior design', 'Property']","[0.96895546, 0.9506173, 0.94513774, 0.9334511, 0.910095]","['furnishing', 'accessory', 'living room', 'indoors', 'parlor']","[0.609, 0.609, 0.59, 0.696, 0.518]",living_room
room512,living_room,"['Lighting', 'Building', 'Architecture', 'Church', 'Flooring']","[94.45135498046875, 92.89865112304688, 92.89865112304688, 84.70655822753906, 84.49934387207031]","['floor', 'furniture', 'vase', 'fireplace', 'table']","[0.9996005296707153, 0.9800214767456055, 0.9480545520782471, 0.9376803636550903, 0.9350855350494385]","['furniture', 'table', 'indoors', 'room', 'house']","[0.9967687726020813, 0.9966319799423218, 0.9935277700424194, 0.9903370141983032, 0.9881740808486938]","['Furniture', 'Table', 'End table', 'Floor', 'Room']","[0.9154317, 0.90307754, 0.87205553, 0.7775686, 0.71392286]","['parquetry (floor)', 'floor cover', 'corner', 'broadloom (carpet)', 'rug']","[0.638, 0.791, 0.55, 0.521, 0.53]",living_room
PH_02_03_4672_30_l,living_room,"['Furniture', 'Room', 'Indoors', 'Living Room', 'Dressing Room']","[99.84834289550781, 95.42876434326172, 95.42876434326172, 72.07787322998047, 67.66452026367188]","['indoor', 'vase', 'curtain', 'floor', 'room']","[0.9949272274971008, 0.9816259145736694, 0.9581416845321655, 0.9413691759109497, 0.9397042989730835]","['room', 'furniture', 'table', 'curtain', 'lamp']","[0.9979081749916077, 0.9975865483283997, 0.995935320854187, 0.9958991408348083, 0.9912607669830322]","['Furniture', 'Room', 'Bedroom', 'Interior design', 'Curtain']","[0.97774184, 0.96895546, 0.9644299, 0.9570548, 0.94896346]","['drawing room', 'indoors', 'furnishing', 'accessory', 'living room']","[0.677, 0.76, 0.563, 0.563, 0.533]",living_room
fire21,living_room,"['Furniture', 'Indoors', 'Fireplace', 'Chair', 'Hearth']","[99.37644958496094, 95.3940200805664, 92.05281066894531, 87.54110717773438, 86.4607925415039]","['wall', 'indoor', 'living', 'room', 'fireplace']","[0.9933041334152222, 0.9827685356140137, 0.9657382369041443, 0.9552489519119263, 0.6303107738494873]","['house', 'room', 'interior design', 'window', 'indoors']","[0.9771855473518372, 0.9744101762771606, 0.9732210636138916, 0.9697396159172058, 0.967310905456543]","['Living room', 'Room', 'Interior design', 'Furniture', 'Wall']","[0.9768597, 0.9572079, 0.92443854, 0.90829885, 0.90047795]","['recess', 'enclosure', 'overmantel (mantel)', 'support', 'mantelpiece']","[0.608, 0.608, 0.567, 0.698, 0.562]",living_room
int877,living_room,"['Furniture', 'Table', 'Indoors', 'Monitor', 'Display']","[98.13871765136719, 85.26051330566406, 84.6382064819336, 83.80046081542969, 83.80046081542969]","['floor', 'indoor', 'living', 'room', 'desk']","[0.9841206073760986, 0.9692448377609253, 0.9257441163063049, 0.8797239661216736, 0.7962554693222046]","['furniture', 'table', 'room', 'seat', 'chair']","[0.9992262721061707, 0.9990173578262329, 0.996630072593689, 0.9953367710113525, 0.9940289258956909]","['Furniture', 'Coffee table', 'Table', 'Living room', 'Floor']","[0.96034604, 0.9329681, 0.93150073, 0.8625006, 0.84622437]","['Morris chair', 'armchair', 'chair', 'seat', 'furniture']","[0.584, 0.688, 0.723, 0.735, 0.791]",living_room
20070522_www000000421_1538_1_1__5,movie_theater,"['Interior Design', 'Indoors', 'Room', 'Auditorium', 'Theater']","[99.9999771118164, 99.9999771118164, 98.89525604248047, 96.93919372558594, 96.93919372558594]","['indoor', 'ceiling', 'room', 'scene', 'furniture']","[0.9821927547454834, 0.8622277975082397, 0.769420862197876, 0.7179989218711853, 0.20628315210342407]","['auditorium', 'seat', 'chair', 'theater', 'indoors']","[0.9968814849853516, 0.9954327344894409, 0.9890572428703308, 0.9868550300598145, 0.9862900972366333]","['Auditorium', 'Theatre', 'Room', 'Projection screen', 'Building']","[0.9154266, 0.90046495, 0.87458414, 0.85681593, 0.8500556]","['movie theater', 'theatre', 'building', 'indoors', 'light brown color']","[0.836, 0.961, 0.961, 0.788, 0.657]",movie_theater
14333_dsc02540_1__4,movie_theater,"['Indoors', 'Interior Design', 'Room', 'Theater', 'Cinema']","[100.0, 100.0, 99.8210678100586, 98.78301239013672, 96.38703155517578]","['indoor', 'room', 'chair', 'curtain', 'performing arts center']","[0.9663681983947754, 0.8020098209381104, 0.7668823003768921, 0.7097249031066895, 0.6577327251434326]","['indoors', 'no person', 'seat', 'theater', 'chair']","[0.9967552423477173, 0.9948996305465698, 0.994178056716919, 0.9860014319419861, 0.9838888645172119]","['Theatre', 'Projection screen', 'Movie theater', 'Auditorium', 'Building']","[0.94739115, 0.8836222, 0.86855215, 0.8680186, 0.8507679]","['theatre', 'building', 'movie theater', 'home theater', 'proscenium wall']","[0.914, 0.914, 0.564, 0.558, 0.503]",movie_theater
sala_de_cine_02_01_altavista,movie_theater,"['Interior Design', 'Indoors', 'Chair', 'Furniture', 'Room']","[99.99736022949219, 99.99736022949219, 99.60143280029297, 99.60143280029297, 97.15125274658203]","['sofa', 'indoor', 'chair', 'living', 'room']","[0.9891930222511292, 0.9482536911964417, 0.9317436218261719, 0.9292216300964355, 0.8534461259841919]","['seat', 'no person', 'room', 'indoors', 'chair']","[0.997206449508667, 0.9946181178092957, 0.9886652231216431, 0.9878721237182617, 0.9848895072937012]","['Room', 'Furniture']","[0.71392286, 0.5674918]","['auditorium', 'theatre', 'building', 'assembly hall', 'indoors']","[0.852, 0.75, 0.75, 0.5, 0.798]",movie_theater
salle_cinema_corte_1__63,movie_theater,"['Interior Design', 'Indoors', 'Screen', 'Electronics', 'Menu']","[99.99082946777344, 99.99082946777344, 83.12860870361328, 83.12860870361328, 82.94404602050781]","['text', 'hall', 'auditorium']","[0.9729577302932739, 0.3094952702522278, 0.16760629415512085]","['theater', 'soccer', 'movie', 'auditorium', 'chair']","[0.9885783195495605, 0.9751876592636108, 0.9749273657798767, 0.970960795879364, 0.9631342887878418]","['Projection screen', 'Auditorium', 'Technology', 'Projector accessory', 'Convention center']","[0.9124315, 0.8286874, 0.7120629, 0.65990365, 0.6512963]","['classroom', 'indoors', 'auditorium', 'theatre', 'building']","[0.757, 0.758, 0.512, 0.512, 0.755]",movie_theater
movietheater_google_0006,movie_theater,"['Indoors', 'Interior Design', 'Room', 'Theater', 'Cinema']","[100.0, 100.0, 99.85726928710938, 98.47552490234375, 96.03656005859375]","['auditorium', 'performing arts center', 'concert hall', 'indoor', 'theatre']","[0.9429842233657837, 0.9131252765655518, 0.9028971195220947, 0.886440098285675, 0.8325377702713013]","['auditorium', 'theater', 'theatre', 'opera', 'stage']","[0.9991997480392456, 0.9981768131256104, 0.993549644947052, 0.9927866458892822, 0.9920585751533508]","['Auditorium', 'Theatre', 'Projection screen', 'heater', 'Movie theater']","[0.97698414, 0.96865404, 0.9223899, 0.90505546, 0.88928705]","['theatre', 'building', 'movie theater', 'auditorium', 'proscenium wall']","[0.954, 0.954, 0.682, 0.64, 0.5]",movie_theater
zapateria_03_20_flickr,shoe_shop,"['Person', 'Human', 'Food', 'Shop', 'Indoors']","[97.67143249511719, 97.67143249511719, 90.27899169921875, 81.26514434814453, 79.63704681396484]","['text', 'convenience store', 'indoor', 'retail', 'supermarket']","[0.9903008937835693, 0.9451428651809692, 0.9323717951774597, 0.6325364112854004, 0.6288985013961792]","['shelf', 'stock', 'market', 'business', 'commerce']","[0.9864882826805115, 0.9733176231384277, 0.9706571102142334, 0.9662998914718628, 0.9604284167289734]","['Product', 'Inventory', 'Aisle', 'Grocery store', 'Retail']","[0.94139594, 0.8778936, 0.849842, 0.8419992, 0.83230335]","['bookshop', 'shop', 'retail store', 'building', 'supermarket']","[0.756, 0.849, 0.943, 0.943, 0.72]",shoe_shop
zapato_1,shoe_shop,"['Furniture', 'Indoors', 'Interior Design', 'Clothing', 'Apparel']","[98.89259338378906, 97.84676361083984, 97.84676361083984, 95.35985565185547, 95.35985565185547]","['wall', 'indoor', 'floor', 'furniture', 'ladder']","[0.9932577610015869, 0.9725444912910461, 0.9495702385902405, 0.940199613571167, 0.8821327686309814]","['shelf', 'indoors', 'wood', 'room', 'chair']","[0.9951399564743042, 0.9893069267272949, 0.9875932931900024, 0.9791802167892456, 0.9698452949523926]","['Shelf', 'Furniture', 'Iron', 'Bar stool', 'Shelving']","[0.93661726, 0.9244002, 0.8939537, 0.83305323, 0.79366916]","['magazine rack', 'rack', 'support', 'beige color', 'reddish brown color']","[0.825, 0.851, 0.851, 0.791, 0.748]",shoe_shop
Browns2,shoe_shop,"['Shop', 'Shoe Shop']","[99.71038818359375, 99.71038818359375]","['indoor', 'cartoon', 'text', 'illustration', 'drawing']","[0.9422129392623901, 0.9359449148178101, 0.8819893598556519, 0.7767982482910156, 0.6966739892959595]","['shelf', 'stock', 'shop', 'variation', 'rack']","[0.9997060298919678, 0.9991178512573242, 0.9984790086746216, 0.998201847076416, 0.9969756007194519]","['Shoe store', 'Footwear', 'Furniture', 'Shelf', 'Room']","[0.9742179, 0.828504, 0.7474496, 0.7245302, 0.71392286]","['shoe shop', 'shop', 'retail store', 'building', 'sage green color']","[0.999, 1, 1, 1, 0.956]",shoe_shop
zapateria_08_05_flickr,shoe_shop,"['Person', 'Human', 'Lighting', 'Shop', 'Shelf']","[99.79081726074219, 99.79081726074219, 90.683837890625, 87.7935791015625, 83.58153533935547]","['ceiling', 'indoor', 'person', 'standing', 'text']","[0.9834402799606323, 0.9738384485244751, 0.8958759307861328, 0.8899153470993042, 0.8440697193145752]","['people', 'street', 'stock', 'man', 'city']","[0.9954720139503479, 0.9878087639808655, 0.9676714539527893, 0.9672309160232544, 0.9355466961860657]","['Snapshot', 'Building', 'Shopping mall', 'Ceiling', 'Food court']","[0.82509655, 0.76120067, 0.63665366, 0.6243213, 0.61079794]","['person', 'department store', 'retail store', 'building', 'display window']","[0.778, 0.776, 0.846, 0.846, 0.514]",shoe_shop
zapateria_21_03_flickr,shoe_shop,"['Shoe Shop', 'Shop', 'Clothing', 'Apparel', 'Interior Design']","[99.05192565917969, 99.05192565917969, 92.58333587646484, 92.58333587646484, 90.69800567626953]","['wall', 'indoor', 'text', 'table', 'couch']","[0.9794710874557495, 0.9586078524589539, 0.805127739906311, 0.7841348648071289, 0.765638530254364]","['interior design', 'indoors', 'room', 'furniture', 'shelf']","[0.9954954385757446, 0.9947031140327454, 0.9941520690917969, 0.9912131428718567, 0.9901153445243835]","['Shelf', 'Room', 'Property', 'Interior design', 'Shelving']","[0.92649716, 0.9027482, 0.8912869, 0.84519655, 0.82872653]","['gift shop', 'shop', 'retail store', 'building', 'pantry']","[0.759, 0.76, 0.761, 0.761, 0.683]",shoe_shop
09_Vestibulo,lobby,"['Building', 'Room', 'Lobby', 'Indoors', 'Housing']","[99.14405822753906, 98.34931182861328, 98.34931182861328, 98.34931182861328, 97.08241271972656]","['building', 'architecture', 'design', 'house', 'window']","[0.9994407892227173, 0.9422340989112854, 0.8837171792984009, 0.8642584085464478, 0.826565146446228]","['window', 'luxury', 'modern', 'furniture', 'architecture']","[0.9952459335327148, 0.9902799129486084, 0.98614501953125, 0.9857802987098694, 0.9839468002319336]","['Building', 'Living room', 'Room', 'Property', 'Ceiling']","[0.94521296, 0.94513774, 0.9178129, 0.91151386, 0.90080374]","['skylight', 'window', 'framework', 'supporting structure', 'atrium of building']","[0.755, 0.762, 0.762, 0.762, 0.684]",lobby
lobby2998,lobby,"['Room', 'Indoors', 'Lobby', 'Mansion', 'Building']","[99.99418640136719, 99.99418640136719, 99.99418640136719, 99.7252426147461, 99.7252426147461]","['indoor', 'plant', 'building', 'colonnade', 'several']","[0.8686552047729492, 0.6067017316818237, 0.5377222895622253, 0.15989896655082703, 0.13332390785217285]","['hotel', 'luxury', 'casino', 'travel', 'architecture']","[0.9931278228759766, 0.9902589321136475, 0.987260103225708, 0.9865316152572632, 0.9824045896530151]","['Building', 'Lobby', 'Architecture', 'Hotel', 'Palace']","[0.9646732, 0.93003625, 0.78712916, 0.64393944, 0.6043]","['anteroom', 'indoors', 'hall', 'building', 'Hotel Building']","[0.826, 0.826, 0.586, 0.7, 0.514]",lobby
Locker_Room,lobby,"['Indoors', 'Room', 'Dressing Room', 'Locker', 'Furniture']","[99.57801055908203, 99.57801055908203, 98.41524505615234, 94.06947326660156, 91.19145202636719]","['indoor', 'floor', 'wall', 'ceiling', 'furniture']","[0.9971303939819336, 0.9931849241256714, 0.963484525680542, 0.9380240440368652, 0.9233087301254272]","['indoors', 'room', 'furniture', 'interior design', 'trading floor']","[0.9960781335830688, 0.9950277805328369, 0.9717494249343872, 0.9673856496810913, 0.9659198522567749]","['Building', 'Room']","[0.80245954, 0.79112947]","['locker room', 'indoors', 'reddish orange color', 'beige color']","[0.995, 0.995, 0.833, 0.806]",lobby
