imageName,groundTruth,amazonLabels,amazonScores,azureLabels,azureScores,clarifaiLabels,clarifaiScores,googleLabels,googleScores,watsonLabels,watsonScores,category
Places365_val_00024027,cockpit,"['Machine', 'Gas Pump', 'Pump', 'Cockpit', 'Building']","[99.4625244140625, 99.4625244140625, 99.4625244140625, 92.58704376220703, 71.000732421875]",['screenshot'],[0.8298938274383545],"['cockpit', 'travel', 'transportation system', 'airplane', 'vehicle']","[0.9988554120063782, 0.9969866871833801, 0.9968751668930054, 0.9953655004501343, 0.9941493272781372]","['Cockpit', 'Vehicle']","[0.7971351, 0.76482946]","['cockpit', 'compartment', 'indoors', 'control panel', 'electrical device']","[0.902, 0.902, 0.902, 0.574, 0.576]",cockpit
Places365_val_00010149,cockpit,"['Person', 'Human', 'Cockpit']","[99.70726013183594, 99.70726013183594, 96.2000961303711]","['person', 'indoor', 'clothing', 'flight', 'subway']","[0.9126545190811157, 0.897788405418396, 0.8834818601608276, 0.5232517719268799, 0.10183250904083252]","['cockpit', 'vehicle', 'airplane', 'aircraft', 'people']","[0.9992163181304932, 0.9979421496391296, 0.9947919845581055, 0.9937143325805664, 0.9925259351730347]","['Cockpit', 'Pilot', 'Aerospace engineering', 'Job', 'Air travel']","[0.89760244, 0.8828404, 0.8814208, 0.8160482, 0.79572785]","['cockpit', 'compartment', 'indoors', 'copilot', 'aviator']","[0.925, 0.925, 0.925, 0.739, 0.752]",cockpit
Places365_val_00001615,cockpit,"['Human', 'Person', 'Astronaut']","[98.28607177734375, 98.28607177734375, 70.133544921875]","['outdoor', 'person', 'clothing', 'orange', 'helmet']","[0.8850411176681519, 0.7239252328872681, 0.6966396570205688, 0.668842613697052, 0.6458306908607483]","['astronaut', 'spacecraft', 'exploration', 'people', 'man']","[0.9990981817245483, 0.9950062036514282, 0.9914796948432922, 0.9855126142501831, 0.936873733997345]","['Astronaut', 'Space', 'space shuttle', 'Team', 'Aerospace engineering']","[0.96160585, 0.746108, 0.6458766, 0.5935059, 0.5488254]","['astronaut', 'traveler', 'person', 'spacesuit', 'clothing']","[0.958, 0.958, 0.958, 0.557, 0.8]",cockpit
Places365_val_00000879,cockpit,"['Person', 'Human', 'Cockpit', 'Officer', 'Military']","[97.65149688720703, 97.65149688720703, 93.50946807861328, 57.344051361083984, 57.344051361083984]","['person', 'man', 'vehicle', 'flight', 'clothing']","[0.9957144856452942, 0.9896453619003296, 0.8472561836242676, 0.8332648277282715, 0.8321970701217651]","['cockpit', 'vehicle', 'airplane', 'transportation system', 'people']","[0.9994062185287476, 0.9991400837898254, 0.9988208413124084, 0.9983117580413818, 0.9974604249000549]","['Cockpit', 'Pilot', 'Aerospace engineering', 'Vehicle', 'Job']","[0.9242498, 0.88575757, 0.83758765, 0.7871273, 0.6822785]","['person', 'cockpit', 'compartment', 'indoors', 'flight simulator']","[0.797, 0.864, 0.864, 0.864, 0.808]",cockpit
Places365_val_00012810,office,"['Child', 'Kid', 'Teen', 'Girl', 'Woman']","[100.0, 100.0, 100.0, 100.0, 100.0]","['person', 'wall', 'indoor', 'furniture', 'table']","[0.9906325936317444, 0.9889221787452698, 0.9497708678245544, 0.9221971035003662, 0.9135648012161255]","['adult', 'people', 'indoors', 'woman', 'room']","[0.991955041885376, 0.987703800201416, 0.9850846529006958, 0.9822267293930054, 0.9676336050033569]","['Room', 'Table', 'Furniture', 'Lighting accessory', 'Interior design']","[0.7795167, 0.6974622, 0.64736944, 0.6446717, 0.54307204]","['grandmother (nan)', 'person', 'Art Studio', 'indoors', 'people']","[0.684, 0.754, 0.528, 0.528, 0.505]",office
Places365_val_00017468,office,"['Furniture', 'Person', 'Human', 'Table', 'Tabletop']","[99.63268280029297, 99.17494201660156, 99.17494201660156, 97.75398254394531, 94.40078735351562]","['indoor', 'clothing', 'person', 'table', 'man']","[0.9847127199172974, 0.963161826133728, 0.9003736972808838, 0.8301019668579102, 0.7829775214195251]","['people', 'woman', 'adult', 'table', 'room']","[0.9955114126205444, 0.9919643402099609, 0.98087477684021, 0.9676077365875244, 0.9670406579971313]","['Room', 'Child']","[0.6566393, 0.57330555]","['dressmaker', 'maker', 'person', 'people', 'workroom']","[0.721, 0.722, 0.822, 0.52, 0.502]",office
Places365_val_00014859,office,"['Furniture', 'Table', 'Person', 'Human', 'Desk']","[99.58072662353516, 98.81409454345703, 98.34185028076172, 98.34185028076172, 96.39485931396484]","['floor', 'indoor', 'person', 'desk', 'office building']","[0.9948170781135559, 0.9787375926971436, 0.9682239294052124, 0.9573578834533691, 0.94757080078125]","['room', 'adult', 'office', 'computer', 'desk']","[0.9909009337425232, 0.9898433089256287, 0.9883217811584473, 0.9869686365127563, 0.9855509400367737]","['Desk', 'Office', 'Furniture', 'Room', 'Table']","[0.84539217, 0.8010047, 0.78338563, 0.6566393, 0.6379098]","['person', 'office', 'building', 'workstation', 'digital computer']","[0.594, 0.761, 0.762, 0.553, 0.554]",office
Places365_val_00000524,office,"['Person', 'Human', 'Doctor']","[99.9558334350586, 99.9558334350586, 99.9558334350586]","['person', 'clothing', 'smile', 'human face', 'woman']","[0.9590491056442261, 0.9544123411178589, 0.8926410675048828, 0.891940712928772, 0.8658572435379028]","['woman', 'adult', 'patient', 'doctor', 'people']","[0.993972659111023, 0.9938180446624756, 0.9853695631027222, 0.9812948703765869, 0.9794689416885376]","['White-collar worker', 'Conversation', 'Sitting', 'Job', 'Business']","[0.7363424, 0.71547973, 0.6610431, 0.5697955, 0.53424084]","['gynecologist', 'medical specialist', 'person', 'doctor', 'student nurse']","[0.603, 0.609, 0.912, 0.58, 0.551]",office
Places365_val_00034314,office,"['Furniture', 'Table', 'Desk', 'Indoors', 'Office']","[99.94916534423828, 99.92176055908203, 99.82766723632812, 99.70040893554688, 99.70040893554688]","['computer', 'desk', 'office building', 'furniture', 'text']","[0.9943217039108276, 0.9906972050666809, 0.9892726540565491, 0.9295775890350342, 0.8933264017105103]","['desk', 'table', 'indoors', 'furniture', 'room']","[0.9983915090560913, 0.9949773550033569, 0.9900317788124084, 0.987532377243042, 0.9870665073394775]","['Office', 'Room', 'Furniture', 'Desk', 'Hospital']","[0.81312597, 0.79112947, 0.69961756, 0.6881868, 0.6529525]","['workroom', 'indoors', 'office', 'building', 'sewing room']","[0.785, 0.852, 0.582, 0.583, 0.573]",office
Places365_val_00028104,doorway,['Prison'],[98.62321472167969],"['building', 'outdoor', 'window', 'house', 'door']","[0.9916607141494751, 0.9897198677062988, 0.969029426574707, 0.9404082298278809, 0.9089623689651489]","['house', 'architecture', 'building', 'old', 'street']","[0.9905016422271729, 0.9904158711433411, 0.9855983257293701, 0.9790016412734985, 0.9730932712554932]","['Property', 'Building', 'House', 'Facade', 'Real estate']","[0.9519631, 0.9289813, 0.89271206, 0.8746791, 0.84767896]","['duplex house', 'building', 'ground floor', 'floor', 'terraced house']","[0.651, 0.806, 0.561, 0.586, 0.521]",doorway
Places365_val_00020403,doorway,"['Door', 'Person', 'Human']","[99.7580795288086, 95.86780548095703, 95.86780548095703]","['building', 'outdoor', 'door', 'clothing', 'person']","[0.9996603727340698, 0.9975762963294983, 0.9164218902587891, 0.9076178073883057, 0.8950459957122803]","['door', 'portrait', 'people', 'doorway', 'house']","[0.9971557855606079, 0.9856196641921997, 0.9813419580459595, 0.9812504649162292, 0.9788295030593872]","['Wall', 'Standing', 'Art', 'Jacket', 'Outerwear']","[0.82302785, 0.7958224, 0.76692533, 0.7472034, 0.73502517]","['doorframe', 'framework', 'supporting structure', 'stoop', 'porch']","[0.673, 0.72, 0.72, 0.577, 0.58]",doorway
Places365_val_00003644,doorway,"['Person', 'Human', 'Building', 'Architecture', 'Housing']","[99.82190704345703, 99.82190704345703, 99.6411361694336, 99.62104034423828, 96.03008270263672]","['building', 'outdoor', 'door', 'window', 'church']","[0.9997007846832275, 0.9914873242378235, 0.9660810232162476, 0.7030715346336365, 0.5792205929756165]","['architecture', 'entrance', 'arch', 'gate', 'travel']","[0.9883217811584473, 0.9681679010391235, 0.9676278233528137, 0.9596677422523499, 0.9569949507713318]","['Arch', 'Architecture', 'Wall', 'Building', 'Window']","[0.89790314, 0.88383085, 0.81250733, 0.77303046, 0.6250683]","['doorsill', 'support', 'header', 'portico(front of building)', 'porch']","[0.577, 0.69, 0.577, 0.517, 0.518]",doorway
Places365_val_00030521,doorway,"['Building', 'Housing', 'Town', 'Urban', 'City']","[99.1344223022461, 95.73407745361328, 92.35884094238281, 92.35884094238281, 92.35884094238281]","['door', 'houseplant', 'window', 'flowerpot', 'house']","[0.9573856592178345, 0.9491482973098755, 0.9110052585601807, 0.9091416597366333, 0.784386157989502]","['door', 'doorway', 'house', 'architecture', 'entrance']","[0.998943030834198, 0.9962695837020874, 0.9942775368690491, 0.9934154748916626, 0.9914848804473877]","['Property', 'Building', 'Real estate', 'Home', 'Facade']","[0.94934934, 0.9060422, 0.85182387, 0.8033978, 0.7793353]","['transom window', 'window', 'framework', 'supporting structure', 'funeral home']","[0.544, 0.547, 0.547, 0.547, 0.531]",doorway
Places365_val_00021897,doorway,['Door'],[99.50210571289062],"['flower', 'window', 'houseplant', 'flowerpot', 'building']","[0.9734351634979248, 0.9341731071472168, 0.9306479692459106, 0.9051491022109985, 0.8052327036857605]","['door', 'doorway', 'entrance', 'architecture', 'house']","[0.997616171836853, 0.9951740503311157, 0.994766116142273, 0.9944673776626587, 0.9888185262680054]","['Door', 'Property', 'Building', 'Facade', 'Home door']","[0.92150706, 0.9052493, 0.867983, 0.8327374, 0.77722645]","['brownstone (house)', 'building', 'stoop', 'porch', 'Brownstone Building']","[0.819, 0.819, 0.769, 0.769, 0.643]",doorway
Places365_val_00006682,athletic_field,"['Clothing', 'Apparel', 'Bikini', 'Swimwear', 'Person']","[99.98316955566406, 99.98316955566406, 99.80077362060547, 99.80077362060547, 94.93553924560547]","['outdoor', 'person', 'swimwear', 'clothing', 'beach']","[0.9972932934761047, 0.9918665289878845, 0.9660661220550537, 0.9435157775878906, 0.9322776794433594]","['summer', 'beach', 'sea', 'water', 'bikini']","[0.992099404335022, 0.9893196225166321, 0.9858605861663818, 0.9857198596000671, 0.9772229790687561]","['Bikini', 'Clothing', 'Navel', 'Swimwear', 'Swimsuit top']","[0.97966963, 0.9687379, 0.93151444, 0.91431755, 0.86869997]","['bikini pants', 'underpants', 'undergarment', 'garment', 'young lady (heroine)']","[0.635, 0.645, 0.65, 0.712, 0.56]",athletic_field
Places365_val_00006744,athletic_field,"['Human', 'Person', 'People', 'Sport', 'Team Sport']","[99.86418914794922, 99.86418914794922, 98.34383392333984, 94.75825500488281, 94.75825500488281]","['person', 'grass', 'soccer', 'outdoor', 'sports equipment']","[0.9993350505828857, 0.998825192451477, 0.9615830779075623, 0.9384471774101257, 0.9289581775665283]","['soccer', 'competition', 'football', 'people', 'man']","[0.9975930452346802, 0.9869493246078491, 0.9800514578819275, 0.9794229865074158, 0.9773188829421997]","['Player', 'Sports', 'Soccer player', 'Sports equipment', 'Team sport']","[0.99537724, 0.98898673, 0.9814181, 0.9782594, 0.9755527]","['person', 'goalmouth', 'outdoor game', 'athletic game', 'sport']","[0.799, 0.624, 0.576, 0.688, 0.81]",athletic_field
Places365_val_00031240,athletic_field,"['Sphere', 'Human', 'Person', 'People', 'Ball']","[99.89414978027344, 99.88412475585938, 99.88412475585938, 87.96041107177734, 80.11735534667969]","['grass', 'person', 'soccer', 'group', 'sports equipment']","[0.9999974966049194, 0.9989172220230103, 0.9871641397476196, 0.9608026742935181, 0.9405732154846191]","['soccer', 'competition', 'squad', 'match', 'game']","[0.99716717004776, 0.9963774085044861, 0.9937149286270142, 0.9875543117523193, 0.9834685325622559]","['Team', 'Team sport', 'Player', 'Sport venue', 'Social group']","[0.9929929, 0.9755527, 0.9201978, 0.906469, 0.8976301]","['outdoor game', 'athletic game', 'sport', 'Soccer players', 'people']","[0.852, 0.887, 0.89, 0.5, 0.5]",athletic_field
Places365_val_00022262,athletic_field,"['Human', 'Person', 'Sport', 'Sports', 'Running Track']","[99.85458374023438, 99.85458374023438, 96.63980102539062, 96.63980102539062, 94.70117950439453]","['outdoor', 'person', 'road', 'people', 'footwear']","[0.9989238977432251, 0.9970034956932068, 0.9659138917922974, 0.9609026908874512, 0.9455749988555908]","['marathon', 'runner', 'sport', 'jogger', 'competition']","[0.999274492263794, 0.9965267181396484, 0.9956172704696655, 0.9925458431243896, 0.9900815486907959]","['Marathon', 'Running', 'Long-distance running', 'Athletics', 'Outdoor recreation']","[0.9892355, 0.97927094, 0.9607074, 0.9578059, 0.9516736]","['runner', 'traveler', 'person', 'sprinter', 'athlete']","[0.897, 0.897, 0.979, 0.775, 0.775]",athletic_field
Places365_val_00002560,athletic_field,"['Person', 'People', 'Team Sport', 'Sports', 'Team']","[99.81915283203125, 99.81915283203125, 99.81915283203125, 99.81915283203125, 99.81915283203125]","['grass', 'outdoor', 'person', 'sports equipment', 'tree']","[0.9999980330467224, 0.9995094537734985, 0.9947081804275513, 0.9934037923812866, 0.9783971309661865]","['football', 'game', 'competition', 'stadium', 'sport']","[0.9959241151809692, 0.9932748079299927, 0.9854234457015991, 0.981398344039917, 0.9812377691268921]","['Sports', 'Player', 'Team sport', 'Ball game', 'Football player']","[0.98898673, 0.9582856, 0.9267793, 0.9108953, 0.9055685]","['touch football', 'contact sport', 'sport', 'halfback (in a ball game)', 'soccer (football) player']","[0.69, 0.787, 0.879, 0.604, 0.781]",athletic_field
Places365_val_00002881,shoe_shop,"['Shop', 'Apparel', 'Clothing', 'Newsstand', 'Book']","[92.25191497802734, 88.94705963134766, 88.94705963134766, 87.69364166259766, 83.99290466308594]",['text'],[0.9961056709289551],"['commerce', 'stock', 'people', 'shop', 'man']","[0.9669451713562012, 0.9630789160728455, 0.9515690803527832, 0.9014030694961548, 0.8966078758239746]","['Footwear', 'Shoe', 'Athletic shoe', 'Display advertising', 'Advertising']","[0.83853614, 0.70829105, 0.5477996, 0.52703804, 0.5091468]","['person', 'baggage claim', 'Subway Platform', 'platform', 'display window']","[0.596, 0.582, 0.567, 0.567, 0.536]",shoe_shop
Places365_val_00032931,shoe_shop,"['Apparel', 'Clothing', 'Footwear', 'Shoe']","[99.77202606201172, 99.77202606201172, 93.48844909667969, 73.01325225830078]","['footwear', 'floor', 'indoor', 'shoe', 'boot']","[0.9879926443099976, 0.9331718683242798, 0.9286289215087891, 0.7884939312934875, 0.7010121941566467]","['shoe', 'fashion', 'footwear', 'shelf', 'leather']","[0.9896088242530823, 0.9796566963195801, 0.9794391393661499, 0.978452205657959, 0.966610848903656]","['Shelf', 'Footwear', 'Shoe store', 'Shoe', 'Shelving']","[0.97773796, 0.97677004, 0.95854306, 0.93610346, 0.89573205]","['shoe shop', 'shop', 'retail store', 'building', 'footwear']","[0.995, 0.995, 0.995, 0.995, 0.778]",shoe_shop
Places365_val_00032012,shoe_shop,"['Clothing', 'Apparel', 'Shop', 'Person', 'Human']","[99.47278594970703, 99.47278594970703, 94.68666076660156, 94.60749816894531, 94.60749816894531]","['indoor', 'clothing', 'text', 'person', 'footwear']","[0.9868930578231812, 0.9220242500305176, 0.9046259522438049, 0.8912734985351562, 0.7540608048439026]","['stock', 'shop', 'shopping', 'market', 'shelf']","[0.9999455213546753, 0.9996730089187622, 0.9990861415863037, 0.9977375268936157, 0.99713134765625]","['Shoe store', 'Footwear', 'Shoe', 'Outlet store', 'Boutique']","[0.94882554, 0.93511915, 0.81121916, 0.74208415, 0.7094292]","['shoe shop', 'shop', 'retail store', 'building', 'indoors']","[0.985, 0.986, 0.987, 0.987, 0.784]",shoe_shop
Places365_val_00017187,shoe_shop,"['Apparel', 'Clothing', 'Footwear', 'Boot', 'Cowboy Boot']","[99.9954605102539, 99.9954605102539, 97.79227447509766, 90.47766876220703, 90.47766876220703]","['indoor', 'footwear', 'boot', 'high heels', 'sandal']","[0.9811973571777344, 0.8909081220626831, 0.8727242350578308, 0.8194983005523682, 0.6546725630760193]","['stock', 'footwear', 'no person', 'indoors', 'people']","[0.9912398457527161, 0.9879006743431091, 0.9722716212272644, 0.954357922077179, 0.937039315700531]","['Footwear', 'Boot', 'Shoe', 'Cowboy boot', 'Durango boot']","[0.9894503, 0.9575096, 0.90156066, 0.76095015, 0.67121917]","['Hessian boot', 'boot', 'footwear', 'rubber boot', 'combat boot']","[0.553, 0.896, 0.904, 0.525, 0.5]",shoe_shop
Places365_val_00032606,shoe_shop,"['Clothing', 'Apparel', 'Footwear', 'Shoe', 'Shop']","[99.45462036132812, 99.45462036132812, 95.95067596435547, 93.61308288574219, 91.21778106689453]","['footwear', 'indoor', 'sandal', 'shoe', 'sneakers']","[0.990515410900116, 0.8930834531784058, 0.8555217981338501, 0.8539994359016418, 0.7863402366638184]","['stock', 'shop', 'shopping', 'footwear', 'market']","[0.994375467300415, 0.9932790994644165, 0.9889031052589417, 0.9885681867599487, 0.9775117635726929]","['Footwear', 'Shoe', 'Sneakers', 'Shoe store', 'Outdoor shoe']","[0.988139, 0.97279835, 0.913386, 0.81998116, 0.7625149]","['shoe shop', 'shop', 'retail store', 'building', 'classroom']","[0.782, 0.783, 0.785, 0.785, 0.512]",shoe_shop
Places365_val_00022138,field,"['Plant', 'Rug']","[65.0959701538086, 60.31357955932617]","['orange', 'flower', 'plant', 'colorful']","[0.7844738960266113, 0.6501713991165161, 0.36661219596862793, 0.2949185371398926]","['fall', 'leaf', 'nature', 'no person', 'outdoors']","[0.995282769203186, 0.9914236068725586, 0.9910788536071777, 0.983453631401062, 0.9747589826583862]","['Orange', 'Plant', 'Groundcover', 'Flower', 'Deciduous']","[0.87223625, 0.81251234, 0.6480376, 0.6382763, 0.59123737]","['wahoo', 'plant', 'fothergilla', 'vine maple', 'maple']","[0.695, 0.894, 0.531, 0.517, 0.62]",field
Places365_val_00030422,field,"['Nature', 'Outdoors', 'Field', 'Landscape', 'Painting']","[99.75696563720703, 99.42766571044922, 99.41730499267578, 97.72269439697266, 97.28424072265625]","['outdoor', 'sky', 'grass', 'tree', 'landscape']","[0.9981785416603088, 0.9951655864715576, 0.9941837787628174, 0.9849621057510376, 0.9808892011642456]","['tree', 'no person', 'dawn', 'sunset', 'outdoors']","[0.9907022714614868, 0.9894481897354126, 0.9877843260765076, 0.9869685769081116, 0.9799318313598633]","['Sky', 'Natural landscape', 'Nature', 'Cloud', 'Horizon']","[0.99094856, 0.98296964, 0.97653997, 0.9695674, 0.90437704]","['Sunset', 'Gray Sky', 'Wheat Field', 'nature', 'azure color']","[0.827, 0.511, 0.5, 0.794, 0.727]",field
Places365_val_00031629,field,"['Bow', 'Boat', 'Rowboat', 'Transportation', 'Vehicle']","[95.67939758300781, 85.54381561279297, 85.54381561279297, 85.54381561279297, 85.54381561279297]","['outdoor', 'kite', 'grass', 'surfing']","[0.9978143572807312, 0.9963014125823975, 0.9958230257034302, 0.5908573269844055]","['outdoors', 'flora', 'nature', 'sport', 'landscape']","[0.9752477407455444, 0.9542776346206665, 0.9515771269798279, 0.9434341788291931, 0.937803328037262]","['Grass', 'Plant', 'Sail', 'Vehicle']","[0.68802327, 0.58547497, 0.55806273, 0.51874006]","['flagpole', 'sport kite', 'bungee cord', 'rope', 'ski jumping']","[0.603, 0.582, 0.517, 0.517, 0.5]",field
